activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,assay_description,assay_type,assay_organism,doc_title,doc_abstract
15685159,CHEMBL3606404,CHEMBL3603765,CHEMBL3604934,IC50,nM,10000.0,IC50,uM,10.0,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685160,CHEMBL3606404,CHEMBL3603765,CHEMBL3604935,IC50,nM,1800.0,IC50,uM,1.8,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685161,CHEMBL3606404,CHEMBL3603765,CHEMBL3604936,IC50,nM,2100.0,IC50,uM,2.1,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685162,CHEMBL3606404,CHEMBL3603765,CHEMBL3604937,IC50,nM,500.0,IC50,uM,0.5,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685163,CHEMBL3606404,CHEMBL3603765,CHEMBL3604938,IC50,nM,10000.0,IC50,uM,10.0,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685164,CHEMBL3606404,CHEMBL3603765,CHEMBL3604939,IC50,nM,3600.0,IC50,uM,3.6,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685165,CHEMBL3606404,CHEMBL3603765,CHEMBL3604940,IC50,nM,400.0,IC50,uM,0.4,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685166,CHEMBL3606404,CHEMBL3603765,CHEMBL3604941,IC50,nM,600.0,IC50,uM,0.6,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685167,CHEMBL3606404,CHEMBL3603765,CHEMBL3604943,IC50,nM,1.0,IC50,uM,0.001,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685168,CHEMBL3606404,CHEMBL3603765,CHEMBL3545308,IC50,nM,2.0,IC50,uM,0.002,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
15685169,CHEMBL3606404,CHEMBL3603765,CHEMBL939,IC50,nM,1.0,IC50,uM,0.001,Inhibition of EGFR L858R mutant (unknown origin) expressed in Sf9 cells pre-incubated for 60 mins before substrate and ATP addition by homogeneous time-resolved FRET assay,B,Homo sapiens,Targeting Drug Resistance in EGFR with Covalent Inhibitors: A Structure-Based Design Approach.,"Receptor tyrosine kinases represent one of the prime targets in cancer therapy, as the dysregulation of these elementary transducers of extracellular signals, like the epidermal growth factor receptor (EGFR), contributes to the onset of cancer, such as non-small cell lung cancer (NSCLC). Strong efforts were directed to the development of irreversible inhibitors and led to compound CO-1686, which takes advantage of increased residence time at EGFR by alkylating Cys797 and thereby preventing toxic effects. Here, we present a structure-based approach, rationalized by subsequent computational analysis of conformational ligand ensembles in solution, to design novel and irreversible EGFR inhibitors based on a screening hit that was identified in a phenotype screen of 80 NSCLC cell lines against approximately 1500 compounds. Using protein X-ray crystallography, we deciphered the binding mode in engineered cSrc (T338M/S345C), a validated model system for EGFR-T790M, which constituted the basis for further rational design approaches. Chemical synthesis led to further compound collections that revealed increased biochemical potency and, in part, selectivity toward mutated (L858R and L858R/T790M) vs nonmutated EGFR. Further cell-based and kinetic studies were performed to substantiate our initial findings. Utilizing proteolytic digestion and nano-LC-MS/MS analysis, we confirmed the alkylation of Cys797."
